time,node,10.1.1.1/24-10.1.9.1,10.1.1.2/24-10.1.9.1,10.1.2.1/24-10.1.9.1,10.1.2.2/24-10.1.9.1,10.1.3.1/24-10.1.9.1,10.1.3.2/24-10.1.9.1,10.1.4.1/24-10.1.9.1,10.1.4.2/24-10.1.9.1,10.1.5.1/24-10.1.9.1,10.1.5.2/24-10.1.9.1,10.1.6.1/24-10.1.9.1,10.1.6.2/24-10.1.9.1,10.1.7.1/24-10.1.9.1,10.1.7.2/24-10.1.9.1,10.1.9.2/24-10.1.9.1
0.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
