time,node,10.1.1.2/24-10.1.1.1,10.1.1.2/24-10.1.2.1,10.1.1.2/24-10.1.3.1,10.1.2.2/24-10.1.1.1,10.1.2.2/24-10.1.2.1,10.1.2.2/24-10.1.3.1,10.1.3.2/24-10.1.1.1,10.1.3.2/24-10.1.2.1,10.1.3.2/24-10.1.3.1,10.1.4.1/24-10.1.1.1,10.1.4.1/24-10.1.2.1,10.1.4.1/24-10.1.3.1,10.1.4.2/24-10.1.1.1,10.1.4.2/24-10.1.2.1,10.1.4.2/24-10.1.3.1,10.1.5.1/24-10.1.1.1,10.1.5.1/24-10.1.2.1,10.1.5.1/24-10.1.3.1,10.1.5.2/24-10.1.1.1,10.1.5.2/24-10.1.2.1,10.1.5.2/24-10.1.3.1,10.1.6.1/24-10.1.1.1,10.1.6.1/24-10.1.2.1,10.1.6.1/24-10.1.3.1,10.1.6.2/24-10.1.1.1,10.1.6.2/24-10.1.2.1,10.1.6.2/24-10.1.3.1,10.1.7.1/24-10.1.1.1,10.1.7.1/24-10.1.2.1,10.1.7.1/24-10.1.3.1,10.1.7.2/24-10.1.1.1,10.1.7.2/24-10.1.2.1,10.1.7.2/24-10.1.3.1,10.1.9.1/24-10.1.1.1,10.1.9.1/24-10.1.2.1,10.1.9.1/24-10.1.3.1,10.1.9.2/24-10.1.1.1,10.1.9.2/24-10.1.2.1,10.1.9.2/24-10.1.3.1
0.2,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
0.4,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.837953,0.0810234,0.0810234,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
0.6,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.837953,0.0810234,0.0810234,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
0.8,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.991898,0.00405117,0.00405117,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.0499797,0.95001,1.01279e-05,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.2,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.0499797,0.95001,1.01279e-05,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.4,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.000124949,0.999875,2.53198e-08,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.6,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,2.04968e-06,0.999998,4.15348e-10,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.8,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,2.04968e-06,0.999998,4.15348e-10,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,2.04968e-06,0.999998,4.15348e-10,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.2,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.823968,0.176032,3.65574e-12,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.4,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.823968,0.176032,3.65574e-12,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.6,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.0234046,0.976595,1.0384e-13,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
